# ------------------------------------------------------------------------
# NASA-GSFC Planetary Spectrum Generator (PSG, Villanueva et al. 2018, 2022)
# Atmospheric transmittance spectrum synthesized with PUMAS
# Synthesized on Wed Nov 13 03:38:56 2024
# Radiative transfer took 21.076 seconds
# Spectral unit: Wavelength [um]
# ------------------------------------------------------------------------
# Wave/freq Total H2O CO2 O3 N2O CO CH4 O2 N2
1.600600000e+00 9.76695e-01 9.99570e-01 9.77137e-01 1.00000e+00 1.00000e+00 1.00000e+00 9.99979e-01 1.00000e+00 1.00000e+00
1.600610000e+00 9.66826e-01 9.99586e-01 9.67279e-01 1.00000e+00 1.00000e+00 1.00000e+00 9.99946e-01 1.00000e+00 1.00000e+00
1.600620000e+00 9.47764e-01 9.99593e-01 9.48270e-01 1.00000e+00 1.00000e+00 1.00000e+00 9.99873e-01 1.00000e+00 1.00000e+00
1.600630000e+00 9.05387e-01 9.99586e-01 9.05921e-01 1.00000e+00 1.00000e+00 1.00000e+00 9.99824e-01 1.00000e+00 1.00000e+00
1.600640000e+00 7.91182e-01 9.99558e-01 7.91608e-01 1.00000e+00 1.00000e+00 1.00000e+00 9.99905e-01 1.00000e+00 1.00000e+00
1.600650000e+00 4.79662e-01 9.99508e-01 4.79915e-01 1.00000e+00 1.00000e+00 1.00000e+00 9.99965e-01 1.00000e+00 1.00000e+00
1.600660000e+00 6.86026e-01 9.99444e-01 6.86422e-01 1.00000e+00 1.00000e+00 1.00000e+00 9.99980e-01 1.00000e+00 1.00000e+00
1.600670000e+00 8.64925e-01 9.99366e-01 8.65492e-01 1.00000e+00 1.00000e+00 1.00000e+00 9.99980e-01 1.00000e+00 1.00000e+00
1.600680000e+00 9.30442e-01 9.99230e-01 9.31189e-01 1.00000e+00 1.00000e+00 1.00000e+00 9.99969e-01 1.00000e+00 1.00000e+00
1.600690000e+00 9.57457e-01 9.98981e-01 9.58451e-01 1.00000e+00 1.00000e+00 1.00000e+00 9.99982e-01 1.00000e+00 1.00000e+00
1.600700000e+00 9.69847e-01 9.98692e-01 9.71131e-01 1.00000e+00 1.00000e+00 1.00000e+00 9.99987e-01 1.00000e+00 1.00000e+00
1.600710000e+00 9.74359e-01 9.98249e-01 9.76090e-01 1.00000e+00 1.00000e+00 1.00000e+00 9.99978e-01 1.00000e+00 1.00000e+00
1.600720000e+00 9.69162e-01 9.97120e-01 9.72005e-01 1.00000e+00 1.00000e+00 1.00000e+00 9.99955e-01 1.00000e+00 1.00000e+00
1.600730000e+00 9.76701e-01 9.94162e-01 9.82462e-01 1.00000e+00 1.00000e+00 1.00000e+00 9.99977e-01 1.00000e+00 1.00000e+00
1.600740000e+00 9.77587e-01 9.90102e-01 9.87369e-01 1.00000e+00 1.00000e+00 1.00000e+00 9.99991e-01 1.00000e+00 1.00000e+00
1.600750000e+00 9.82466e-01 9.92778e-01 9.89617e-01 1.00000e+00 1.00000e+00 1.00000e+00 9.99995e-01 1.00000e+00 1.00000e+00
1.600760000e+00 9.86263e-01 9.95405e-01 9.90819e-01 1.00000e+00 1.00000e+00 1.00000e+00 9.99996e-01 1.00000e+00 1.00000e+00
1.600770000e+00 9.86840e-01 9.95723e-01 9.91081e-01 1.00000e+00 1.00000e+00 1.00000e+00 9.99997e-01 1.00000e+00 1.00000e+00
1.600780000e+00 9.86447e-01 9.95467e-01 9.90942e-01 1.00000e+00 1.00000e+00 1.00000e+00 9.99998e-01 1.00000e+00 1.00000e+00
1.600790000e+00 9.86361e-01 9.94096e-01 9.92222e-01 1.00000e+00 1.00000e+00 1.00000e+00 9.99998e-01 1.00000e+00 1.00000e+00
1.600800000e+00 9.82927e-01 9.90327e-01 9.92530e-01 1.00000e+00 1.00000e+00 1.00000e+00 9.99998e-01 1.00000e+00 1.00000e+00
1.600810000e+00 9.84391e-01 9.91831e-01 9.92500e-01 1.00000e+00 1.00000e+00 1.00000e+00 9.99998e-01 1.00000e+00 1.00000e+00
1.600820000e+00 9.88144e-01 9.95877e-01 9.92237e-01 1.00000e+00 1.00000e+00 1.00000e+00 9.99998e-01 1.00000e+00 1.00000e+00
1.600830000e+00 9.89406e-01 9.97642e-01 9.91746e-01 1.00000e+00 1.00000e+00 1.00000e+00 9.99998e-01 1.00000e+00 1.00000e+00
1.600840000e+00 9.89469e-01 9.98469e-01 9.90988e-01 1.00000e+00 1.00000e+00 1.00000e+00 9.99998e-01 1.00000e+00 1.00000e+00
1.600850000e+00 9.88796e-01 9.98908e-01 9.89880e-01 1.00000e+00 1.00000e+00 1.00000e+00 9.99997e-01 1.00000e+00 1.00000e+00
1.600860000e+00 9.87414e-01 9.99137e-01 9.88270e-01 1.00000e+00 1.00000e+00 1.00000e+00 9.99997e-01 1.00000e+00 1.00000e+00
1.600870000e+00 9.85220e-01 9.99254e-01 9.85961e-01 1.00000e+00 1.00000e+00 1.00000e+00 9.99995e-01 1.00000e+00 1.00000e+00
